Country;Peak;Elevation;Climbed;lat;lon
France;Mont Blanc;4 809;no;45.83277778;6.86472222
Italy;Monte Bianco di Courmayeur;4 748;no;45.82888889;6.86944444
Switzerland;Dufourspitze;4 634;no;45.93666667;7.88361111
Austria;Grossglockner;3 798;no;47.075;12.69444444
Spain;Mulhacen;3 479;no;37.05527778;-3.31055556
Germany;Zugspitze;2 962;no;47.41666667;10.98333333
Andorra;Coma Pedrosa;2 942;no;42.59194444;1.44361111
Bulgaria;Musala;2 925;yes;42.17972222;23.58916667
Greece;Mytikas;2 919;no;40.08333333;22.35
Slovenia;Triglav;2 864;no;46.37833333;13.84111111
Albania & Macedonia;Korab;2 764;no;41.79027778;20.54666667
Kosovo;Djeravica;2 656;no;42.53277778;20.14027778
Slovakia;Gerlach;2 655;no;49.16388889;20.13388889
Liechtenstein;Grauspitz;2 599;no;47.05277778;9.58194444
Romania;Moldoveanu;2 544;yes;45.59944444;24.73611111
Montenegro;Zla Kolata;2 534;no;42.48888889;19.90222222
Poland;Rysy;2 499;no;49.17944444;20.08833333
Norway;Galdhopiggen;2 469;yes;61.63638889;8.3125
Bosnia and Herzegovina;Maglic;2 386;no;43.27861111;18.73333333
Portugal;Pico;2 351;no;38.46888889;-28.39888889
Serbia;Midzur;2 169;no;43.38;22.67
Iceland;Hvannadalshnukur;2 110;no;64.01444444;-16.51111111
Sweden;Kebnekaise;2 104;no;67.88333333;18.55
Ukraine;Hoverla;2 061;no;48.16;24.5
Russia;Mount Narodnaya;1 895;no;65.03333333;50.11666667
Croatia;Vrh Dinare;1 831;no;44.06361111;16.38472222
Czech Republic;Snezka;1 603;yes;50.73583333;15.73916667
United Kingdom;Ben Nevis;1 344;no;56.79694444;-5.00361111
Finland;Halti;1 324;no;69.26666667;21.3
Ireland;Carrantuohill;1 041;yes;51.99888889;-9.74277778
Turkey;Mahya Dagi;1 031;no;41.78333333;27.61666667
Hungary;Kekes;1 014;no;47.87888889;20.06027778
Denmark;Slaettaratindur;882;no;62.29972222;-7
San Marino;Monte Titano;749;yes;43.92833333;12.45222222
Belgium;Signal de Botrange;694;yes;50.50166667;6.0925
Luksemburg;Kneiff;560;no;50.1575;6.03722222
Kazakhstan;Unnamed peak;509;no;50.73611111;58.19083333
Moldova;Balanesti;430;no;47.21666667;28.08333333
Belarus;Dzyarzhynskaya Hara;345;no;53.84861111;27.06583333
The Netherlands;Vaalsenberg;321;yes;50.75527778;6.0175
Estonia;Suur Munamagi;318;no;57.71444444;27.05916667
Latvia;Gaizinkalns;312;no;56.87027778;25.95944444
Lithuania;Aukstojas Hill;294;yes;54.52694444;25.62583333
Malta;Ta' Dmejrek;253;no;35.84611111;14.39611111
Monaco;Chemin des Revoires;163;no;43.74583333;7.41277778
Vatican;Vatican Hill;75;no;41.90416667;12.45027778
